time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
570,756.71,-4.85,773,1386,791552,0.2,0.007673913612961769,0.0,7720,-0.000812167814001441,-1.595244336128235,9.99209472e-05,0.00018023342,0.7159218192100525,0.01949224676936865,,
570,754.53,-4.85,774,1388,792576,0.2,0.005371900741010904,0.0,7730,-0.0009488590760156513,-1.6998962879180908,9.992084480000001e-05,0.0005110153,0.7850543260574341,0.016006264835596085,,
571,757.99,-4.85,775,1389,793600,0.2,0.005753405392169952,0.0,7740,-0.0005119947716593742,-1.650735819339752,9.99207424e-05,0.00014817037,0.7638433128595352,0.01629766933619976,,
571,760.18,-4.85,776,1390,794624,0.2,0.007636458612978458,0.0,7750,-0.000278252549469471,-1.6742064118385316,9.992064000000001e-05,0.0003879689,0.7319371104240417,0.017434236221015455,,
571,764.69,-4.85,777,1391,795648,0.2,0.007722511887550354,0.0,7760,-0.0002730375505052507,-1.5244624018669128,9.99205376e-05,3.897256e-05,0.748657763004303,0.0177892554551363,,
571,766.77,-4.86,778,1393,796672,0.2,0.007393264211714268,0.0,7770,-0.0004499609582126141,-1.6514370083808898,9.992043520000001e-05,9.3373616e-05,0.7203116416931152,0.017543727532029152,,
572,769.8,-4.86,779,1394,797696,0.2,0.005041659809648991,0.0,7780,-0.0003325857687741518,-1.6264324545860291,9.99203328e-05,5.3873344e-05,0.8084534406661987,0.012806583568453789,,
572,772.97,-4.86,780,1395,798720,0.2,0.004561896901577711,0.0,7790,-0.0003135475912131369,-1.6128756403923035,9.99202304e-05,6.366847e-05,0.8241590559482574,0.012452218122780323,,
572,773.5,-4.85,781,1396,799744,0.2,0.0054816980846226215,0.0,7800,-0.00040320627158507705,-1.6692044496536256,9.9920128e-05,9.6765725e-05,0.8373115360736847,0.013497117906808853,,
,,,,,800000,0.2,0.008346263319253922,0.0,7810,-0.000819094991311431,-1.6693428874015808,9.99200256e-05,0.00020026264,0.7517246752977371,0.02313234396278858,773.18,-4.87
