#{"t_start": 1639654336.9164536, "env_id": null}
r,l,t
-5,973,609.708062
-5,605,610.469801
-5,541,611.057218
-5,670,611.89974
-5,582,612.487681
-5,785,613.54703
-5,530,614.338547
-5,629,615.046641
-5,545,615.813941
-5,590,616.444917
-5,762,617.430004
-5,666,618.336245
-5,716,619.181355
-4,719,620.165559
-5,689,621.259241
-5,609,622.056048
-5,535,622.750096
-5,766,623.925008
-5,434,624.410643
-5,482,625.051472
-5,605,625.657988
-5,691,626.512969
-5,688,627.355123
-5,632,628.333217
-5,470,629.091332
-5,649,629.93419
-5,818,631.057825
-5,591,631.878667
-5,580,632.55817
-5,493,633.250228
-5,965,634.407354
-5,564,635.062453
-4,593,635.958139
-5,459,636.520291
-5,662,637.399316
-5,520,637.944633
-5,841,639.036128
-5,805,640.267466
-5,993,641.633438
-5,455,642.153865
-4,886,643.28315
-5,650,644.136118
-5,545,644.701851
-5,750,645.727668
-5,432,646.145371
-5,508,646.792352
-5,529,647.304994
-5,424,647.88577
-5,667,648.663683
-5,640,649.26029
-4,703,650.090171
-5,591,650.645015
-5,539,651.31492
-5,718,652.151315
-5,693,652.802678
-5,790,653.707287
-5,573,654.405299
-5,530,654.91638
-5,612,655.630841
-5,442,656.055511
-5,694,656.865773
-5,529,657.359084
-4,638,658.20903
-5,441,658.619517
-5,778,659.491731
-5,633,660.257421
-5,669,661.045711
-5,538,661.607843
-4,718,662.557586
-5,637,663.235388
-4,774,664.271484
-5,455,664.96557
-5,398,665.438594
-5,669,666.665776
-5,634,667.746912
-5,671,669.771002
-5,567,671.159476
-5,644,672.541932
-3,938,673.704296
-5,485,674.168437
-5,692,674.981064
-5,541,675.459912
-5,529,675.918674
-5,570,676.492543
-5,786,677.427598
-5,444,677.766005
-5,611,678.247519
-5,650,679.809139
-5,652,680.913759
-5,574,682.001976
-5,555,682.636834
-5,507,683.547087
-4,696,684.834871
-5,537,685.93846
-5,482,686.878457
-5,541,687.907609
-5,653,689.148965
-5,565,689.666033
-5,594,690.320179
-5,432,690.746136
-4,1040,691.641085
-5,612,692.210178
-5,465,692.572766
-5,542,693.042149
-5,505,693.486225
-5,745,694.125587
-5,664,694.720713
-5,454,695.096102
-5,909,695.944783
-4,703,696.487266
-5,550,696.938579
-5,942,697.654318
-5,555,698.064671
-5,613,698.513584
-5,460,698.862561
-4,1128,699.704081
-5,734,700.24913
-5,550,700.670763
-5,747,701.229471
-5,584,701.678653
-5,501,702.048141
-4,779,702.619624
-5,521,703.010503
-5,744,703.554739
-5,859,704.196117
-5,412,704.501236
-5,626,704.970202
-5,516,705.35603
-5,399,705.649032
-5,551,706.062446
-5,585,706.536095
-5,501,706.906918
-5,433,707.22485
-4,614,707.67758
-5,720,708.217049
-4,634,708.686717
-5,412,708.991025
-5,880,709.654463
-5,433,709.977121
-5,778,710.546053
-5,459,710.887729
-5,501,711.251881
-5,570,711.679423
-5,545,712.09281
-5,500,712.457332
-5,651,712.940008
-5,628,713.423267
-4,706,713.949367
-5,621,714.402747
-5,405,714.700351
-3,720,715.231314
-5,723,715.781826
-5,604,716.228902
-5,491,716.586501
-4,619,717.044391
-5,1196,717.939858
-5,680,718.436615
-5,427,718.757914
-5,680,719.2636
-5,655,719.742284
-5,416,720.050324
-5,476,720.397487
-5,518,720.779778
-5,933,721.464887
-5,531,721.865286
-5,622,722.342682
-4,862,722.992305
-5,569,723.407233
-5,642,723.88471
-4,715,724.40746
-5,589,724.846068
-5,570,725.266388
-3,613,725.720688
-5,680,726.230195
-5,689,726.744874
-5,527,727.136913
-5,497,727.500709
-4,674,727.996086
-5,606,728.436532
-5,529,728.854378
-5,525,729.237156
-5,670,730.028059
-5,549,730.560881
-5,517,731.198528
-5,589,731.74638
-5,848,732.690303
-5,594,733.387704
-5,699,734.048326
-5,561,734.721711
-5,671,735.490187
-5,654,736.115005
-5,678,736.911719
-5,926,737.927951
-5,654,738.70005
-4,537,739.212291
-5,489,739.814914
-5,641,740.413491
-5,536,741.074457
-5,620,741.650954
-5,569,742.33851
-5,437,742.778924
-5,489,743.416066
-5,694,744.070605
-5,529,744.696788
-5,748,745.542575
-5,731,746.23139
-5,629,746.966288
-5,738,747.841453
-4,770,748.569272
-5,639,749.331074
-4,791,750.252002
-5,551,750.765231
-5,589,751.461672
-5,713,752.281322
-5,736,752.987617
-3,717,753.827996
-5,706,754.655722
-5,546,755.175756
-5,646,755.922607
-5,702,756.7215
-5,526,757.232289
-5,625,757.971409
-5,554,758.500968
-5,448,759.078148
-5,420,759.480979
-5,516,760.110326
-5,467,760.550475
-5,1070,761.73261
-5,509,762.362052
-5,478,762.81277
-5,693,763.610942
-5,537,764.123037
-5,626,764.848683
-5,427,765.260777
-4,644,766.022542
-5,537,766.68233
-4,993,767.646258
-5,664,768.437763
-5,479,769.038788
-5,592,769.59943
-5,632,770.350088
-5,539,770.879536
-4,1008,771.996449
-5,587,772.710293
-5,599,773.337679
-5,621,774.081645
-5,673,774.853992
-5,437,775.266008
-5,464,775.873615
-5,569,776.406181
-5,627,777.142
-5,591,777.69995
-5,596,778.400135
-5,518,778.886174
-5,884,779.856752
-5,843,780.800856
-5,567,781.480211
-5,570,782.023105
-5,529,782.670321
-5,540,783.183383
-5,891,784.202863
-5,470,784.797881
-5,589,785.360131
-5,685,786.153418
-5,627,786.732724
-5,753,787.597536
-5,501,788.21648
-5,582,788.781707
-5,678,789.60934
-5,563,790.149961
-4,588,790.848195
-5,708,791.65324
-5,569,792.181898
-5,561,792.862281
-5,733,793.723022
-5,429,794.132379
-5,971,795.263373
-5,929,796.266594
-5,770,797.140054
-4,594,797.712736
-5,860,798.703209
-5,588,799.392704
-5,499,799.866121
-5,1043,800.984123
-5,597,801.70275
-5,927,802.735643
-5,781,803.475661
-5,545,804.129578
-4,604,804.728598
-5,468,805.342212
-5,644,806.090843
-5,630,806.699428
-5,576,807.382327
-5,500,807.861589
-5,1027,808.969706
-5,714,809.773468
-4,720,810.592278
-5,878,811.421849
-5,619,812.163061
-5,808,813.07385
-5,523,813.565987
-4,613,814.294159
-4,761,815.201421
-5,566,815.774552
-5,605,816.501389
-5,398,816.890027
-5,399,817.411849
-4,537,817.931373
-5,668,818.721304
-5,669,819.369031
-5,760,820.668058
-5,549,821.851204
-5,434,822.316328
-5,466,822.905225
-5,836,823.734864
-5,626,824.472477
-5,699,825.295431
-5,814,826.209081
-5,428,826.618877
-4,752,827.474559
-4,844,828.28637
-5,740,829.266926
-5,680,830.111287
-5,568,830.761996
-4,627,831.512051
-5,716,832.34164
-5,801,833.243473
-5,1082,834.399381
-5,516,834.886467
-5,645,835.629042
-5,545,836.142681
-5,692,836.930634
-4,660,837.681344
-5,492,838.150028
-5,547,838.809348
-5,687,839.4721
-5,649,840.611721
-5,626,841.090302
-5,627,841.553033
-5,601,841.99626
-4,823,842.595746
-5,880,843.321445
-4,574,843.874402
-5,689,844.482304
-5,580,845.296794
-5,680,846.094778
-5,504,846.483708
-2,1051,847.488199
-5,515,847.874763
-5,710,848.581459
-5,511,849.054873
-5,687,849.970351
-5,567,850.457837
-5,712,851.114943
-4,630,851.665632
-5,742,852.321535
-5,505,852.743482
-5,503,853.137384
-5,424,853.470677
-5,642,853.975605
-5,524,854.387412
-4,796,855.093204
-5,626,855.551369
-5,607,856.093548
-5,548,856.501647
-5,766,857.289631
-5,852,858.165173
-5,830,858.798903
-5,430,859.16906
-5,544,859.701182
-5,568,860.33622
-5,984,861.239051
-5,832,862.001832
-3,854,862.709044
-5,739,863.36221
-5,686,864.00579
-5,559,864.452316
-5,602,865.024024
-5,615,865.572326
-5,878,866.333455
-5,666,866.853244
-4,853,867.601867
-5,856,868.484244
-5,598,869.153618
-3,813,869.936604
-5,777,870.541795
-4,773,871.286755
-5,804,872.005006
-5,664,872.531302
-5,635,873.12007
-5,886,873.988324
-5,640,874.55091
-4,747,875.197289
-4,716,875.749009
-5,444,876.085702
-5,583,876.513716
-5,954,877.275254
-5,419,877.639044
-5,918,878.446096
-5,617,878.924054
-5,498,879.295059
-5,585,879.823728
-5,389,880.133298
-5,588,880.583543
-5,554,881.049518
-5,545,881.506682
-3,752,882.139103
-4,596,882.613039
-5,454,883.009021
-5,580,883.537545
-5,565,884.013619
-5,746,884.602542
-5,618,885.113714
-4,895,885.906752
-4,707,886.515649
-5,666,887.123219
-5,550,887.630154
-5,542,888.181957
-5,659,888.768894
-4,888,889.542165
-5,708,890.130812
-5,942,890.926255
-5,662,891.477871
-5,490,891.929625
-5,733,892.593193
-5,731,893.22066
-5,786,893.867898
-5,619,894.358472
-5,633,894.956994
-5,485,895.359456
-5,522,895.765612
-5,482,896.132201
-5,566,896.56145
-5,583,897.012937
-5,651,897.677804
-5,641,898.257519
-5,659,899.093003
-5,820,900.36867
-4,1175,901.853111
-4,575,902.663522
-5,977,903.931978
-5,672,904.832268
-5,571,905.439308
-5,522,906.149198
-5,486,906.622311
-5,904,907.635427
-5,414,908.054271
-5,554,908.831878
-5,575,909.53705
-5,738,910.522087
-5,847,911.76313
-5,515,912.482072
-5,583,913.111937
-5,551,913.821469
-4,1079,915.051341
-5,703,915.703904
-5,782,916.608999
-5,539,917.309708
-5,601,917.99068
-5,556,918.781178
-5,692,919.570527
-4,634,920.382495
-5,618,921.230271
-5,700,921.94937
-5,635,922.762177
-5,522,923.418205
-5,714,924.193713
-5,588,925.067147
-4,772,926.212874
-5,690,927.102085
-4,755,928.206442
-5,531,928.762522
-5,866,929.945088
-5,708,930.887704
-5,825,931.885423
-5,456,932.333154
-5,567,933.015749
-5,517,933.540401
-5,676,934.680155
-5,556,935.375502
-5,836,936.19751
-5,666,936.982266
-5,589,937.699177
-5,772,938.430486
-5,596,939.141459
-5,672,939.933257
-5,520,940.433059
-5,540,941.123302
-5,670,941.767752
-5,603,942.48167
-5,636,943.102835
-5,523,943.739347
-5,839,944.792694
-5,750,945.754558
-4,942,946.741995
-5,552,947.458148
-5,987,948.603424
-5,467,949.113589
-5,500,949.793205
-5,772,950.755966
-5,595,951.409325
-5,491,952.124983
-5,451,952.611634
-5,633,953.417698
-4,798,954.382843
-5,833,955.233689
-4,751,956.141975
-5,714,957.012156
-5,663,957.669724
-4,604,958.442416
-5,554,959.146572
-5,474,959.670422
-5,470,960.218895
-5,464,960.93773
-5,587,961.533782
-5,512,962.211866
-5,915,963.355426
-5,625,964.174627
-5,616,964.864659
-5,1000,966.024989
-5,542,966.710288
-5,618,967.311613
-5,656,968.084434
-5,1334,969.634529
